ts_code,end_date,roe
000001.SZ,2016-03-31,3.487
000001.SZ,2016-06-30,6.9604
000001.SZ,2016-09-30,10.4073
000001.SZ,2016-12-31,12.4283
000001.SZ,2017-03-31,3.0319
000001.SZ,2017-06-30,6.0702
000001.SZ,2017-09-30,9.1144
000001.SZ,2017-12-31,10.9324
000001.SZ,2018-03-31,2.9611
000001.SZ,2018-06-30,5.9405
000001.SZ,2018-09-30,8.9467
000001.SZ,2018-12-31,10.7415
000001.SZ,2019-03-31,3.0331
000001.SZ,2019-06-30,6.2028
000001.SZ,2019-09-30,8.9454
000001.SZ,2019-12-31,10.1966
000001.SZ,2020-03-31,2.5695
000001.SZ,2020-06-30,4.1175
000001.SZ,2020-09-30,6.6685
000001.SZ,2020-12-31,8.5445
000001.SZ,2021-03-31,2.7505
000001.SZ,2021-06-30,4.7437
000001.SZ,2021-09-30,7.7385
000001.SZ,2021-12-31,9.5674
000001.SZ,2022-03-31,3.206
000001.SZ,2022-06-30,5.4704
000001.SZ,2022-09-30,8.9322
000001.SZ,2022-12-31,10.966
000069.SZ,2016-03-31,1.572
000069.SZ,2016-06-30,4.1274
000069.SZ,2016-09-30,7.5009
000069.SZ,2016-12-31,16.8415
000069.SZ,2017-03-31,1.7143
000069.SZ,2017-06-30,3.9025
000069.SZ,2017-09-30,10.317
000069.SZ,2017-12-31,18.0508
000069.SZ,2018-03-31,2.1175
000069.SZ,2018-06-30,3.8033
000069.SZ,2018-09-30,9.6044
000069.SZ,2018-12-31,19.0496
000069.SZ,2019-03-31,1.9895
000069.SZ,2019-06-30,4.7226
000069.SZ,2019-09-30,9.8759
000069.SZ,2019-12-31,19.3176
000069.SZ,2020-03-31,1.2309
000069.SZ,2020-06-30,3.1527
000069.SZ,2020-09-30,7.552
000069.SZ,2020-12-31,17.255
000069.SZ,2021-03-31,1.1452
000069.SZ,2021-06-30,2.0152
000069.SZ,2021-09-30,4.2961
000069.SZ,2021-12-31,4.7608
000069.SZ,2022-03-31,0.2167
000069.SZ,2022-06-30,0.1307
000069.SZ,2022-09-30,0.1564
000069.SZ,2022-12-31,-14.5344
000157.SZ,2016-03-31,-1.6668
000157.SZ,2016-06-30,-2.1646
000157.SZ,2016-09-30,-2.0754
000157.SZ,2016-12-31,-2.4331
000157.SZ,2017-03-31,0.2293
000157.SZ,2017-06-30,3.0596
000157.SZ,2017-09-30,3.4595
000157.SZ,2017-12-31,3.5808
000157.SZ,2018-03-31,0.9961
000157.SZ,2018-06-30,2.3182
000157.SZ,2018-09-30,3.471
000157.SZ,2018-12-31,5.3309
000157.SZ,2019-03-31,2.5903
000157.SZ,2019-06-30,6.8508
000157.SZ,2019-09-30,9.1518
000157.SZ,2019-12-31,11.3449
000157.SZ,2020-03-31,2.6003
000157.SZ,2020-06-30,9.6623
000157.SZ,2020-09-30,13.3524
000157.SZ,2020-12-31,17.0095
000157.SZ,2021-03-31,4.7299
000157.SZ,2021-06-30,9.4989
000157.SZ,2021-09-30,11.1591
000157.SZ,2021-12-31,12.1024
000157.SZ,2022-03-31,1.5812
000157.SZ,2022-06-30,3.0673
000157.SZ,2022-09-30,3.917
000157.SZ,2022-12-31,4.1324
000725.SZ,2016-03-31,0.1397
000725.SZ,2016-06-30,-0.6704
000725.SZ,2016-09-30,0.1819
000725.SZ,2016-12-31,2.4107
000725.SZ,2017-03-31,3.0224
000725.SZ,2017-06-30,5.3611
000725.SZ,2017-09-30,7.9737
000725.SZ,2017-12-31,9.2565
000725.SZ,2018-03-31,2.3552
000725.SZ,2018-06-30,3.4946
000725.SZ,2018-09-30,3.9607
000725.SZ,2018-12-31,4.0255
000725.SZ,2019-03-31,1.2164
000725.SZ,2019-06-30,1.9358
000725.SZ,2019-09-30,2.146
000725.SZ,2019-12-31,2.121
000725.SZ,2020-03-31,0.5821
000725.SZ,2020-06-30,1.1543
000725.SZ,2020-09-30,2.5242
000725.SZ,2020-12-31,5.0779
000725.SZ,2021-03-31,4.8062
000725.SZ,2021-06-30,12.0035
000725.SZ,2021-09-30,16.5278
000725.SZ,2021-12-31,20.9698
000725.SZ,2022-03-31,3.0019
000725.SZ,2022-06-30,4.6059
000725.SZ,2022-09-30,3.8287
000725.SZ,2022-12-31,5.4094
000768.SZ,2016-03-31,-0.392
000768.SZ,2016-06-30,0.5306
000768.SZ,2016-09-30,0.7783
000768.SZ,2016-12-31,2.6987
000768.SZ,2017-03-31,-0.573
000768.SZ,2017-06-30,0.5967
000768.SZ,2017-09-30,0.8258
000768.SZ,2017-12-31,3.0336
000768.SZ,2018-03-31,0.1717
000768.SZ,2018-06-30,1.0365
000768.SZ,2018-09-30,1.4783
000768.SZ,2018-12-31,3.5137
000768.SZ,2019-03-31,0.2442
000768.SZ,2019-06-30,1.3912
000768.SZ,2019-09-30,2.1167
000768.SZ,2019-12-31,3.4902
000768.SZ,2020-03-31,0.2648
000768.SZ,2020-06-30,1.4079
000768.SZ,2020-09-30,2.7371
000768.SZ,2020-12-31,4.8807
000768.SZ,2021-03-31,0.8796
000768.SZ,2021-06-30,2.1848
000768.SZ,2021-09-30,3.9207
000768.SZ,2021-12-31,4.2059
000768.SZ,2022-03-31,0.9767
000768.SZ,2022-06-30,3.0407
000768.SZ,2022-09-30,4.1117
000768.SZ,2022-12-31,3.2837
000776.SZ,2016-03-31,2.327
000776.SZ,2016-06-30,5.3342
000776.SZ,2016-09-30,8.0467
000776.SZ,2016-12-31,10.2917
000776.SZ,2017-03-31,2.6739
000776.SZ,2017-06-30,5.4003
000776.SZ,2017-09-30,7.8543
000776.SZ,2017-12-31,10.5217
000776.SZ,2018-03-31,1.7856
000776.SZ,2018-06-30,3.3833
000776.SZ,2018-09-30,4.8185
000776.SZ,2018-12-31,5.0628
000776.SZ,2019-03-31,3.3592
000776.SZ,2019-06-30,4.7333
000776.SZ,2019-09-30,6.3655
000776.SZ,2019-12-31,8.5547
000776.SZ,2020-03-31,2.2462
000776.SZ,2020-06-30,6.2117
000776.SZ,2020-09-30,8.688
000776.SZ,2020-12-31,10.6001
000776.SZ,2021-03-31,2.56
000776.SZ,2021-06-30,5.9358
000776.SZ,2021-09-30,8.5442
000776.SZ,2021-12-31,10.6004
000776.SZ,2022-03-31,1.216
000776.SZ,2022-06-30,3.8864
000776.SZ,2022-09-30,4.6581
000776.SZ,2022-12-31,6.9932
000858.SZ,2016-03-31,6.483
000858.SZ,2016-06-30,8.8833
000858.SZ,2016-09-30,11.4995
000858.SZ,2016-12-31,15.0091
000858.SZ,2017-03-31,7.3519
000858.SZ,2017-06-30,10.3888
000858.SZ,2017-09-30,14.2572
000858.SZ,2017-12-31,19.2683
000858.SZ,2018-03-31,8.9055
000858.SZ,2018-06-30,12.8637
000858.SZ,2018-09-30,16.8145
000858.SZ,2018-12-31,22.914
000858.SZ,2019-03-31,9.7042
000858.SZ,2019-06-30,14.3945
000858.SZ,2019-09-30,18.8739
000858.SZ,2019-12-31,25.2612
000858.SZ,2020-03-31,9.8592
000858.SZ,2020-06-30,14.3878
000858.SZ,2020-09-30,18.8184
000858.SZ,2020-12-31,24.944
000858.SZ,2021-03-31,10.3174
000858.SZ,2021-06-30,15.1209
000858.SZ,2021-09-30,19.3901
000858.SZ,2021-12-31,25.3034
000858.SZ,2022-03-31,10.3588
000858.SZ,2022-06-30,14.9864
000858.SZ,2022-09-30,19.3702
000963.SZ,2016-03-31,8.8333
000963.SZ,2016-06-30,17.1012
000963.SZ,2016-09-30,23.9103
000963.SZ,2016-12-31,28.2273
000963.SZ,2017-03-31,7.205
000963.SZ,2017-06-30,13.9395
000963.SZ,2017-09-30,19.3528
000963.SZ,2017-12-31,22.7097
000963.SZ,2018-03-31,7.5571
000963.SZ,2018-06-30,14.8836
000963.SZ,2018-09-30,20.2181
000963.SZ,2018-12-31,24.736
000963.SZ,2019-03-31,8.7464
000963.SZ,2019-06-30,15.2168
000963.SZ,2019-09-30,20.492
000963.SZ,2019-12-31,25.2892
000963.SZ,2020-03-31,8.8966
000963.SZ,2020-06-30,13.3689
000963.SZ,2020-09-30,18.0209
000963.SZ,2020-12-31,20.9427
000963.SZ,2021-03-31,5.0751
000963.SZ,2021-06-30,8.6152
000963.SZ,2021-09-30,12.2796
000963.SZ,2021-12-31,14.7544
000963.SZ,2022-03-31,4.1619
000963.SZ,2022-06-30,7.9025
000963.SZ,2022-09-30,11.4377
000963.SZ,2022-12-31,14.2173
002007.SZ,2016-03-31,5.1223
002007.SZ,2016-06-30,10.9391
002007.SZ,2016-09-30,15.7684
002007.SZ,2016-12-31,19.8153
002007.SZ,2017-03-31,5.8757
002007.SZ,2017-06-30,10.1501
002007.SZ,2017-09-30,14.2602
002007.SZ,2017-12-31,18.4774
002007.SZ,2018-03-31,4.3464
002007.SZ,2018-06-30,9.5275
002007.SZ,2018-09-30,15.4797
002007.SZ,2018-12-31,22.3567
002007.SZ,2019-03-31,4.5453
002007.SZ,2019-06-30,8.979
002007.SZ,2019-09-30,16.4053
002007.SZ,2019-12-31,21.2662
002007.SZ,2020-03-31,3.7082
002007.SZ,2020-06-30,7.8438
002007.SZ,2020-09-30,14.2801
002007.SZ,2020-12-31,22.927
002007.SZ,2021-03-31,3.2917
002007.SZ,2021-06-30,6.0882
002007.SZ,2021-09-30,13.5288
002007.SZ,2021-12-31,16.3739
002007.SZ,2022-03-31,2.5628
002007.SZ,2022-06-30,6.3934
002007.SZ,2022-09-30,9.7075
002007.SZ,2022-12-31,11.489
002008.SZ,2016-03-31,2.4049
002008.SZ,2016-06-30,8.275
002008.SZ,2016-09-30,12.7685
002008.SZ,2016-12-31,15.0155
002008.SZ,2017-03-31,2.79
002008.SZ,2017-06-30,16.026
002008.SZ,2017-09-30,24.623
002008.SZ,2017-12-31,27.1007
002008.SZ,2018-03-31,4.9138
002008.SZ,2018-06-30,13.4021
002008.SZ,2018-09-30,21.0662
002008.SZ,2018-12-31,22.4523
002008.SZ,2019-03-31,1.9064
002008.SZ,2019-06-30,4.5109
002008.SZ,2019-09-30,7.0382
002008.SZ,2019-12-31,7.486
002008.SZ,2020-03-31,1.2078
002008.SZ,2020-06-30,6.7931
002008.SZ,2020-09-30,10.9915
002008.SZ,2020-12-31,10.5389
002008.SZ,2021-03-31,3.3147
002008.SZ,2021-06-30,8.7429
002008.SZ,2021-09-30,14.35
002008.SZ,2021-12-31,18.6691
002008.SZ,2022-03-31,2.5648
002008.SZ,2022-06-30,4.9066
002008.SZ,2022-09-30,7.7345
002008.SZ,2022-12-31,9.4055
002241.SZ,2016-03-31,2.0737
002241.SZ,2016-06-30,4.9572
002241.SZ,2016-09-30,10.5264
002241.SZ,2016-12-31,16.3108
002241.SZ,2017-03-31,2.7111
002241.SZ,2017-06-30,5.8595
002241.SZ,2017-09-30,11.0421
002241.SZ,2017-12-31,16.6219
002241.SZ,2018-03-31,1.2272
002241.SZ,2018-06-30,2.9766
002241.SZ,2018-09-30,5.6502
002241.SZ,2018-12-31,5.7664
002241.SZ,2019-03-31,1.3272
002241.SZ,2019-06-30,3.4209
002241.SZ,2019-09-30,6.3326
002241.SZ,2019-12-31,8.1802
002241.SZ,2020-03-31,1.8368
002241.SZ,2020-06-30,4.781
002241.SZ,2020-09-30,11.869
002241.SZ,2020-12-31,15.9283
002241.SZ,2021-03-31,4.4684
002241.SZ,2021-06-30,7.8801
002241.SZ,2021-09-30,14.5209
002241.SZ,2021-12-31,18.1976
002241.SZ,2022-03-31,3.2336
002241.SZ,2022-06-30,7.3196
002241.SZ,2022-09-30,13.0337
002241.SZ,2022-12-31,6.157
002304.SZ,2016-03-31,10.1634
002304.SZ,2016-06-30,14.699
002304.SZ,2016-09-30,20.1627
002304.SZ,2016-12-31,23.7893
002304.SZ,2017-03-31,10.0019
002304.SZ,2017-06-30,14.7903
002304.SZ,2017-09-30,20.4748
002304.SZ,2017-12-31,23.8525
002304.SZ,2018-03-31,11.1235
002304.SZ,2018-06-30,16.6566
002304.SZ,2018-09-30,22.6605
002304.SZ,2018-12-31,25.6974
002304.SZ,2019-03-31,11.2517
002304.SZ,2019-06-30,16.3314
002304.SZ,2019-09-30,20.4417
002304.SZ,2019-12-31,21.0477
002304.SZ,2020-03-31,10.4611
002304.SZ,2020-06-30,14.7461
002304.SZ,2020-09-30,19.2403
002304.SZ,2020-12-31,19.9544
002304.SZ,2021-03-31,9.5571
002304.SZ,2021-06-30,14.4912
002304.SZ,2021-09-30,17.8911
002304.SZ,2021-12-31,18.5442
002304.SZ,2022-03-31,11.0796
002304.SZ,2022-06-30,15.7729
002304.SZ,2022-09-30,20.2458
002594.SZ,2016-03-31,2.6018
002594.SZ,2016-06-30,6.7329
002594.SZ,2016-09-30,8.8439
002594.SZ,2016-12-31,12.0937
002594.SZ,2017-03-31,1.1734
002594.SZ,2017-06-30,3.3171
002594.SZ,2017-09-30,5.2989
002594.SZ,2017-12-31,7.6538
002594.SZ,2018-03-31,0.1862
002594.SZ,2018-06-30,0.8772
002594.SZ,2018-09-30,2.7896
002594.SZ,2018-12-31,5.0456
002594.SZ,2019-03-31,1.3423
002594.SZ,2019-06-30,2.6001
002594.SZ,2019-09-30,2.8107
002594.SZ,2019-12-31,2.884
002594.SZ,2020-03-31,0.1985
002594.SZ,2020-06-30,2.8493
002594.SZ,2020-09-30,5.8589
002594.SZ,2020-12-31,7.4523
002594.SZ,2021-03-31,0.344
002594.SZ,2021-06-30,1.6992
002594.SZ,2021-09-30,3.5065
002594.SZ,2021-12-31,4.0083
002594.SZ,2022-03-31,0.8469
002594.SZ,2022-06-30,3.7514
002594.SZ,2022-09-30,9.4254
002594.SZ,2022-12-31,16.1305
002736.SZ,2016-03-31,1.6938
002736.SZ,2016-06-30,4.5939
002736.SZ,2016-09-30,7.6068
002736.SZ,2016-12-31,9.2733
002736.SZ,2017-03-31,2.1234
002736.SZ,2017-06-30,4.1303
002736.SZ,2017-09-30,6.7659
002736.SZ,2017-12-31,9.1066
002736.SZ,2018-03-31,1.4084
002736.SZ,2018-06-30,2.2398
002736.SZ,2018-09-30,3.71
002736.SZ,2018-12-31,6.5491
002736.SZ,2019-03-31,3.5175
002736.SZ,2019-06-30,4.8869
002736.SZ,2019-09-30,6.9568
002736.SZ,2019-12-31,9.0366
002736.SZ,2020-03-31,2.5064
002736.SZ,2020-06-30,5.4361
002736.SZ,2020-09-30,8.0762
002736.SZ,2020-12-31,9.6498
002736.SZ,2021-03-31,2.0613
002736.SZ,2021-06-30,5.552
002736.SZ,2021-09-30,8.8905
002736.SZ,2021-12-31,11.3766
002736.SZ,2022-03-31,0.7886
002736.SZ,2022-06-30,3.2697
002736.SZ,2022-09-30,4.703
600015.SH,2016-03-31,3.412
600015.SH,2016-06-30,7.5288
600015.SH,2016-09-30,10.9911
600015.SH,2016-12-31,14.583
600015.SH,2017-03-31,2.9245
600015.SH,2017-06-30,6.3267
600015.SH,2017-09-30,9.0253
600015.SH,2017-12-31,12.3776
600015.SH,2018-03-31,2.6735
600015.SH,2018-06-30,5.8308
600015.SH,2018-09-30,8.3179
600015.SH,2018-12-31,10.8277
600015.SH,2019-03-31,2.1398
600015.SH,2019-06-30,4.4513
600015.SH,2019-09-30,6.3714
600015.SH,2019-12-31,9.038
600015.SH,2020-03-31,1.7912
600015.SH,2020-06-30,3.474
600015.SH,2020-09-30,5.2199
600015.SH,2020-12-31,7.7618
600015.SH,2021-03-31,1.8923
600015.SH,2021-06-30,3.8839
600015.SH,2021-09-30,5.6675
600015.SH,2021-12-31,8.1309
600015.SH,2022-03-31,1.8731
600015.SH,2022-06-30,3.8487
600015.SH,2022-09-30,5.6459
600016.SH,2016-03-31,4.4786
600016.SH,2016-06-30,8.7817
600016.SH,2016-09-30,12.4766
600016.SH,2016-12-31,14.8625
600016.SH,2017-03-31,4.0595
600016.SH,2017-06-30,7.9481
600016.SH,2017-09-30,11.283
600016.SH,2017-12-31,13.807
600016.SH,2018-03-31,3.9117
600016.SH,2018-06-30,7.6334
600016.SH,2018-09-30,10.8025
600016.SH,2018-12-31,12.5968
600016.SH,2019-03-31,3.6855
600016.SH,2019-06-30,7.0476
600016.SH,2019-09-30,9.9897
600016.SH,2019-12-31,11.464
600016.SH,2020-03-31,3.1527
600016.SH,2020-06-30,5.439
600016.SH,2020-09-30,7.0994
600016.SH,2020-12-31,6.5451
600016.SH,2021-03-31,2.7444
600016.SH,2021-06-30,4.8066
600016.SH,2021-09-30,6.3597
600016.SH,2021-12-31,6.2295
600016.SH,2022-03-31,2.3648
600016.SH,2022-06-30,4.2317
600016.SH,2022-09-30,5.7601
600016.SH,2022-12-31,6.0073
600028.SH,2016-03-31,0.9085
600028.SH,2016-06-30,2.8137
600028.SH,2016-09-30,4.2638
600028.SH,2016-12-31,6.6901
600028.SH,2017-03-31,2.3088
600028.SH,2017-06-30,3.7862
600028.SH,2017-09-30,5.3716
600028.SH,2017-12-31,7.1024
600028.SH,2018-03-31,2.5485
600028.SH,2018-06-30,5.7441
600028.SH,2018-09-30,8.2756
600028.SH,2018-12-31,8.7284
600028.SH,2019-03-31,2.0251
600028.SH,2019-06-30,4.3439
600028.SH,2019-09-30,5.9936
600028.SH,2019-12-31,7.9026
600028.SH,2020-03-31,-2.7257
600028.SH,2020-06-30,-3.1969
600028.SH,2020-09-30,3.2018
600028.SH,2020-12-31,4.4443
600028.SH,2021-03-31,2.3792
600028.SH,2021-06-30,5.194
600028.SH,2021-09-30,7.9232
600028.SH,2021-12-31,9.3845
600028.SH,2022-03-31,2.8807
600028.SH,2022-06-30,5.5728
600028.SH,2022-09-30,7.281
600028.SH,2022-12-31,8.4966
600031.SH,2016-03-31,0.389
600031.SH,2016-06-30,0.5991
600031.SH,2016-09-30,0.7586
600031.SH,2016-12-31,0.8965
600031.SH,2017-03-31,3.2228
600031.SH,2017-06-30,4.946
600031.SH,2017-09-30,7.5718
600031.SH,2017-12-31,8.6788
600031.SH,2018-03-31,5.6785
600031.SH,2018-06-30,12.6735
600031.SH,2018-09-30,17.5036
600031.SH,2018-12-31,21.4672
600031.SH,2019-03-31,9.1727
600031.SH,2019-06-30,18.9933
600031.SH,2019-09-30,24.8159
600031.SH,2019-12-31,29.5278
600031.SH,2020-03-31,4.8283
600031.SH,2020-06-30,17.9608
600031.SH,2020-09-30,25.4644
600031.SH,2020-12-31,30.5624
600031.SH,2021-03-31,9.3321
600031.SH,2021-06-30,17.017
600031.SH,2021-09-30,20.8156
600031.SH,2021-12-31,20.0133
600031.SH,2022-03-31,2.4659
600031.SH,2022-06-30,4.1655
600031.SH,2022-09-30,5.615
600031.SH,2022-12-31,6.6422
600036.SH,2016-03-31,4.9598
600036.SH,2016-06-30,9.535
600036.SH,2016-09-30,13.772
600036.SH,2016-12-31,16.2695
600036.SH,2017-03-31,4.8548
600036.SH,2017-06-30,9.5552
600036.SH,2017-09-30,13.9948
600036.SH,2017-12-31,15.8969
600036.SH,2018-03-31,4.6446
600036.SH,2018-06-30,9.1253
600036.SH,2018-09-30,13.3977
600036.SH,2018-12-31,15.791
600036.SH,2019-03-31,4.5635
600036.SH,2019-06-30,9.1357
600036.SH,2019-09-30,13.5919
600036.SH,2019-12-31,16.1309
600036.SH,2020-03-31,4.4354
600036.SH,2020-06-30,8.0056
600036.SH,2020-09-30,11.6541
600036.SH,2020-12-31,14.5825
600036.SH,2021-03-31,4.3297
600036.SH,2021-06-30,8.2712
600036.SH,2021-09-30,12.3771
600036.SH,2021-12-31,15.1561
600036.SH,2022-03-31,4.1115
600036.SH,2022-06-30,7.9484
600036.SH,2022-09-30,12.025
600036.SH,2022-12-31,15.2986
600085.SH,2016-03-31,3.6276
600085.SH,2016-06-30,7.7686
600085.SH,2016-09-30,10.3129
600085.SH,2016-12-31,12.5161
600085.SH,2017-03-31,3.7024
600085.SH,2017-06-30,7.5765
600085.SH,2017-09-30,10.2237
600085.SH,2017-12-31,12.5529
600085.SH,2018-03-31,3.7044
600085.SH,2018-06-30,7.4613
600085.SH,2018-09-30,9.7668
600085.SH,2018-12-31,12.8334
600085.SH,2019-03-31,3.7051
600085.SH,2019-06-30,7.0167
600085.SH,2019-09-30,8.9231
600085.SH,2019-12-31,10.6557
600085.SH,2020-03-31,2.5523
600085.SH,2020-06-30,5.1618
600085.SH,2020-09-30,7.606
600085.SH,2020-12-31,10.8193
600085.SH,2021-03-31,3.1861
600085.SH,2021-06-30,6.2719
600085.SH,2021-09-30,9.1147
600085.SH,2021-12-31,11.9945
600085.SH,2022-03-31,3.6934
600085.SH,2022-06-30,6.8598
600085.SH,2022-09-30,9.1112
600085.SH,2022-12-31,12.7071
600104.SH,2016-03-31,4.4226
600104.SH,2016-06-30,8.5803
600104.SH,2016-09-30,12.8536
600104.SH,2016-12-31,17.441
600104.SH,2017-03-31,4.0552
600104.SH,2017-06-30,8.0239
600104.SH,2017-09-30,12.0918
600104.SH,2017-12-31,16.4936
600104.SH,2018-03-31,4.2233
600104.SH,2018-06-30,8.5184
600104.SH,2018-09-30,12.136
600104.SH,2018-12-31,15.6663
600104.SH,2019-03-31,3.4388
600104.SH,2019-06-30,5.8376
600104.SH,2019-09-30,8.6821
600104.SH,2019-12-31,10.5784
600104.SH,2020-03-31,0.4492
600104.SH,2020-06-30,3.3802
600104.SH,2020-09-30,6.607
600104.SH,2020-12-31,8.0152
600104.SH,2021-03-31,2.5918
600104.SH,2021-06-30,4.9671
600104.SH,2021-09-30,7.6652
600104.SH,2021-12-31,9.1905
600104.SH,2022-03-31,2.0016
600104.SH,2022-06-30,2.505
600104.SH,2022-09-30,4.6282
600111.SH,2016-03-31,0.0797
600111.SH,2016-06-30,0.3761
600111.SH,2016-09-30,0.4132
600111.SH,2016-12-31,1.0854
600111.SH,2017-03-31,0.8902
600111.SH,2017-06-30,1.3298
600111.SH,2017-09-30,4.0671
600111.SH,2017-12-31,4.6484
600111.SH,2018-03-31,1.2222
600111.SH,2018-06-30,2.4439
600111.SH,2018-09-30,4.2193
600111.SH,2018-12-31,6.4166
600111.SH,2019-03-31,1.2806
600111.SH,2019-06-30,2.8535
600111.SH,2019-09-30,4.8992
600111.SH,2019-12-31,6.5095
600111.SH,2020-03-31,1.4967
600111.SH,2020-06-30,3.3477
600111.SH,2020-09-30,5.1512
600111.SH,2020-12-31,8.2956
600111.SH,2021-03-31,7.1181
600111.SH,2021-06-30,18.0107
600111.SH,2021-09-30,26.413
600111.SH,2021-12-31,39.8066
600111.SH,2022-03-31,9.6589
600111.SH,2022-06-30,19.3649
600111.SH,2022-09-30,27.405
600111.SH,2022-12-31,34.0184
600519.SH,2016-03-31,7.3664
600519.SH,2016-06-30,13.6576
600519.SH,2016-09-30,18.8062
600519.SH,2016-12-31,24.4385
600519.SH,2017-03-31,8.0614
600519.SH,2017-06-30,15.151
600519.SH,2017-09-30,25.4166
600519.SH,2017-12-31,32.9542
600519.SH,2018-03-31,8.8887
600519.SH,2018-06-30,17.0563
600519.SH,2018-09-30,25.522
600519.SH,2018-12-31,34.4643
600519.SH,2019-03-31,9.4737
600519.SH,2019-06-30,17.5322
600519.SH,2019-09-30,25.5819
600519.SH,2019-12-31,33.1177
600519.SH,2020-03-31,9.1849
600519.SH,2020-06-30,16.5436
600519.SH,2020-09-30,23.7832
600519.SH,2020-12-31,31.4108
600519.SH,2021-03-31,8.2915
600519.SH,2021-06-30,15.2628
600519.SH,2021-09-30,22.204
600519.SH,2021-12-31,29.9036
600519.SH,2022-03-31,8.7025
600519.SH,2022-06-30,15.6135
600519.SH,2022-09-30,22.4101
600519.SH,2022-12-31,32.4077
600585.SH,2016-03-31,1.6265
600585.SH,2016-06-30,4.725
600585.SH,2016-09-30,8.2673
600585.SH,2016-12-31,11.5974
600585.SH,2017-03-31,2.7697
600585.SH,2017-06-30,8.5568
600585.SH,2017-09-30,12.2598
600585.SH,2017-12-31,19.1003
600585.SH,2018-03-31,5.2072
600585.SH,2018-06-30,13.9669
600585.SH,2018-09-30,21.4622
600585.SH,2018-12-31,29.5052
600585.SH,2019-03-31,5.2537
600585.SH,2019-06-30,13.1714
600585.SH,2019-09-30,19.8217
600585.SH,2019-12-31,26.8688
600585.SH,2020-03-31,3.5139
600585.SH,2020-06-30,11.464
600585.SH,2020-09-30,17.1133
600585.SH,2020-12-31,23.4837
600585.SH,2021-03-31,3.5274
600585.SH,2021-06-30,9.1397
600585.SH,2021-09-30,13.3885
600585.SH,2021-12-31,19.2569
600585.SH,2022-03-31,2.6484
600585.SH,2022-06-30,5.4245
600585.SH,2022-09-30,6.8175
600585.SH,2022-12-31,8.5269
600660.SH,2016-03-31,3.4898
600660.SH,2016-06-30,8.9684
600660.SH,2016-09-30,13.0748
600660.SH,2016-12-31,18.258
600660.SH,2017-03-31,3.7679
600660.SH,2017-06-30,7.8158
600660.SH,2017-09-30,11.8697
600660.SH,2017-12-31,17.0044
600660.SH,2018-03-31,2.9335
600660.SH,2018-06-30,9.8346
600660.SH,2018-09-30,16.4793
600660.SH,2018-12-31,21.0273
600660.SH,2019-03-31,2.9627
600660.SH,2019-06-30,7.512
600660.SH,2019-09-30,11.4236
600660.SH,2019-12-31,13.9478
600660.SH,2020-03-31,2.1274
600660.SH,2020-06-30,4.6039
600660.SH,2020-09-30,8.1331
600660.SH,2020-12-31,12.1065
600660.SH,2021-03-31,3.8767
600660.SH,2021-06-30,7.6016
600660.SH,2021-09-30,10.9483
600660.SH,2021-12-31,13.1363
600660.SH,2022-03-31,3.2593
600660.SH,2022-06-30,9.0123
